Features,Reduced Dimension Space,accuracy,classification error,f1 score
pca,100.0,54.074074074074076,45.925925925925924,0.5048218513012701
k_pca,100.0,39.25925925925926,60.74074074074074,0.3647118272118272
lda,7.0,94.81481481481482,5.185185185185176,0.939103863791101
k_lda,7.0,96.29629629629629,3.7037037037037095,0.9613807776529658
resnet,2048.0,97.03703703703704,2.962962962962962,0.9708508550602748
vgg,4096.0,64.44444444444444,35.55555555555556,0.5843496965995274
pca+lda+vgg,4203.0,93.33333333333333,6.666666666666671,0.9263772175536882
k_pca+k_lda,107.0,97.03703703703704,2.962962962962962,0.9676196099588712
resnet+vgg,6144.0,97.03703703703704,2.962962962962962,0.9685522046009798
all,6358.0,100.0,0.0,1.0
