Features,Reduced Dimension Space,accuracy,precision,verification error
pca,100.0,87.87878787878788,0.9619047619047619,12.121212121212125
k_pca,100.0,12.121212121212121,0.050505050505050504,87.87878787878788
lda,14.0,100.0,1.0,0.0
k_lda,14.0,100.0,1.0,0.0
resnet,2048.0,100.0,1.0,0.0
vgg,4096.0,54.54545454545454,0.589047619047619,45.45454545454546
pca+lda+vgg,4210.0,81.81818181818183,0.7722222222222221,18.181818181818173
k_pca+k_lda,114.0,100.0,1.0,0.0
resnet+vgg,6144.0,93.93939393939394,0.961111111111111,6.060606060606062
all,6372.0,100.0,1.0,0.0
